Date,Close,High,Low,Open,Volume
,BBNI.JK,BBNI.JK,BBNI.JK,BBNI.JK,BBNI.JK
2023-12-15,4620.53125,4751.92076421801,4620.53125,4751.92076421801,58451500
2023-12-18,4554.83642578125,4642.429433969351,4532.938173734225,4598.632929875301,51524600
2023-12-19,4554.83642578125,4598.632929875301,4532.938173734225,4554.83642578125,42678100
2023-12-20,4554.83642578125,4598.632929875301,4532.938173734225,4576.734677828275,54306000
2023-12-21,4511.0400390625,4576.734796912925,4489.141786445692,4576.734796912925,48767200
2023-12-22,4598.63330078125,4598.63330078125,4532.938539341518,4554.836793154762,35234900
2023-12-27,4620.53125,4664.327754739336,4598.632997630332,4642.429502369669,31289300
2023-12-28,4686.22607421875,4730.02257958528,4598.6330634856895,4642.42956885222,37566900
2023-12-29,4708.12451171875,4730.022765261628,4664.328004632995,4708.12451171875,38423300
2024-01-02,4708.12451171875,4708.12451171875,4642.429751090116,4708.12451171875,20147500
2024-01-03,4686.22607421875,4730.02257958528,4664.327821535485,4708.124326902015,27547700
2024-01-04,4905.208984375,4970.903747558594,4664.328186035156,4686.2264404296875,77162400
2024-01-05,4883.310546875,5036.598321889013,4883.310546875,4970.903561168722,69463500
2024-01-08,4883.310546875,4949.005307595291,4861.41229330157,4883.310546875,60606600
2024-01-09,4949.0048828125,4949.0048828125,4905.208379424778,4905.208379424778,34897000
2024-01-10,4905.208984375,4970.903747558594,4883.310729980469,4927.107238769531,37988500
2024-01-11,4905.208984375,4992.802001953125,4883.310729980469,4949.0054931640625,22855800
2024-01-12,4905.208984375,4949.0054931640625,4883.310729980469,4905.208984375,40942900
2024-01-15,4927.10693359375,4970.903439670139,4905.2086805555555,4949.0051866319445,51408800
2024-01-16,4905.208984375,4927.107238769531,4883.310729980469,4927.107238769531,37795700
2024-01-17,4861.412109375,4927.1068676097975,4795.717351140203,4905.208614864865,61481200
2024-01-18,4861.412109375,4905.208614864865,4795.717351140203,4861.412109375,33241700
2024-01-19,4817.61572265625,4883.310482510653,4795.717469371449,4883.310482510653,29776100
2024-01-22,4839.513671875,4905.20842760181,4773.8189161481905,4839.513671875,30949600
2024-01-23,4751.9208984375,4839.513910390265,4708.124392461117,4839.513910390265,48824300
2024-01-24,4795.71728515625,4817.615537599886,4730.022527825343,4773.819032712615,42436800
2024-01-25,4730.0224609375,4839.51372160735,4730.0224609375,4817.61546947338,47955600
2024-01-26,4751.9208984375,4751.9208984375,4686.226139472927,4730.022645449309,30545600
